file,artist,title,year,lyrics,mood
TRAZACV128F426983D.h5,Simple Minds,See The Lights (2002 Digital Remaster),1991,"Summer's gone winter's in your eyes
I can feel the thunder storms inside
I wake every morning and the cold winds cover me
All I've got's a ghost of what could be
If you can see the lights shine in front of me
If you can see the lights shout out where you'll be
I'm in a broken cream I stare out into space
You know I called you up cos nothing takes your place
I've got a heart of stone and it's sinking deep inside
I want to tell you love I'm too proud to cry
If you can see the lights shine in front of me
If you can see the lights shout out where you'll be
Summer's gone and I can't tell you lies
Oh forgive me love I'm too proud to cry
If you can see the lights shine in front of me
If you can see the lights shout out where you'll be
Summer's gone and I can't tell you lies
Forgive me love I'm too proud to cry
Too proud to cry
Too proud to cry
Too proud to cry",sad
TRAVJHK128E078370B.h5,LL Cool J,Headsprung,2004,"They call me Big L'y, Big Silly
Big Money, Big Billy
When I'm sliding in them all can ya hear me?
I be sexing wit these bars so ya feel me

Let me grip it up for 'cuz in the back
Let me grip it, get a buzz in ya hat
I'm a tell ya how to cause an attack
Timbaland, Ladies Love on the track

Lovely get the ice, pop champagne
Don't forget I used to ride on the train
When I bump it right, call my name
Go crazy in the mall with James

Dump that, not ill like me
Bring the women in to chill for free
Let me tell ya girl, don't try me
You better have I.D. 'cause

When we be up in the club
We be posting the back
When we be in the club
Girls always come to the back

Everybody get a head sprung
Everybody get a head sprung
Everybody get a head sprung
Everybody get a head sprung

When we be up in the club
We be posting the back
When we be in the club
Girls always come to the back

Everybody get a head sprung
Everybody get a head sprung
Everybody get a head sprung
Everybody get a head sprung

Lord have mercy, if the broad is thirsty
I'll have her man reimburse me
The part that hurts me, is when they try to work me
But I can never let ya jerk me

Steady stickin' to the wall, give it up
Sneakin' through the back door, live it up
Got the champagne, pour me a cup
Got the girls lookin' raw in the front

Got a call your man's in town
Tell the bar, another round
Got all my mans holdin' me down
Kinda thick ma, let's get down

So get wit it, I'm sayin' what time
Wanna dip wit it? Got playas on the grind
Wanna skip wit it, backstage you mine
I'm a spit wit it, hey

When we be up in the club
We be posting the back
When we be in the club
Girls always come to the back

Everybody get a head sprung
Everybody get a head sprung
Everybody get a head sprung
Everybody get a head sprung

When we be up in the club
We be posting the back
When we be in the club
Girls always come to the back

Everybody get a head sprung
Everybody get a head sprung
Everybody get a head sprung
Everybody get a head sprung

Hey ladies, yeah
No need to get your hair done
I said, yo ladies, yeah
No need to get your hair done

I'm a get your head sprung
I'm a get your head sprung
I'm a get your head sprung
I'm a get your head sprung

I said, yo fellas, yeah
No need to throw them ones
I said, yo fellas, yeah
No need to throw them ones

I'm a get your head sprung
I'm a get your head sprung
I'm a get your head sprung
I'm a get your head sprung

When we be up in the club
We be posting the back
When we be in the club
Girls always come to the back

Everybody get a head sprung
Everybody get a head sprung
Everybody get a head sprung
Everybody get a head sprung

When we be up in the club
We be posting the back
When we be in the club
Girls always come to the back

Everybody get a head sprung
Everybody get a head sprung
Everybody get a head sprung
Everybody get a head sprung

Yeah, keep chillin' wit 'em
Yeah, keep chillin' wit 'em
Nicely commin' Bimbo
Bambaleyo",happy
TRAAKAS128F4246013.h5,Porcupine Tree,Waiting,1997,"Wanting... the saddest kind of pain
Waiting for the day when I will crawl away

Nothing is what I feel
Waiting... for the drugs to make it real
Waiting... for the day when I will crawl away

Waiting... to be disciplined
Aching... for your nails across my skin
Waiting... for the day when I will crawl away",sad
TRAWAHY128F14AA11E.h5,Leon Russell,Out In The Woods,1976,"Well, I'm goin' down, goin down a hard road
Just don't know, don't know where I've been
But I think I've been a-walkin', I'm a-walkin' 'round in circles
Can't even find a friend

Woah, my love, my love, she is not waiting
Think I might've been gone, I've been gone too long
Look at the people, people make me crazy
I can hardly sing my song

Hustlers stand around me, I'm lost and all alone
Can't tell the bad from the good
I'm out in the wood then I'm lost in the wood

Big city gamblers, gamblers take my money
Yes, it gets to be useless, yes, it's useless to me
And I think I'm lost, when I'm lost inside this jungle
Can't see the forest for the trees

Well, pretty little woman come and get me
Try me, try me one more time
Yes and your sweet, your sweet understanding
Can't fix this broken heart of mine, yeah

The vultures fly around me, come and take me home
Can't tell the bad from the good
I'm out in the woods, then I'm lost in the woods

[Foreign Content]",sad
TRACKAK128F1458461.h5,Gary Moore,Rockin' Every Night (Live),2005,"Allright!

Let me tell you 'bout a place I know.
The kind of place where the kids all go.
Come along baby you can shake off your blues.
Don't be shy, you've got nothin' to lose.

We'll be rockin' every night,
Rollin' till the break of day.
Rockin' every night,
Rollin' till the break of day.
Yeah-yeah-yeah.

Let me tell you 'bout a girl I met.
She made it hard for me to forget.
She said ""Ask me no questions, I'll tell you no lies.""
So I gave it to her straight between the eyes.

We were rockin' every night,
Rollin' till the break of day.
Rockin' every night,
Rollin' till the break of day.
That's right, we were rockin'.
Allright!
You know what I mean.

I don't care if they call the cops.
I'm gonna keep on rockin' till the party stops.
You can leave if there's too much noise.
You know what they say,
Boys will always be boys.
That's right.
You know what I mean.
Aaah.

Rockin' every night,
Rollin' till the break of day.
We were rockin' every night,
Rollin' till the break of day.
That's right, yeah!
Hah.

I don't care if the neighbours shout.
I don't care if they kick me out.
I'll come right back and knock down the door.
Cause when I start to rock,
You know I always want more.
I always want more, just like my name says.
Yeah, that's right.
That's right.

Keep on rockin', keep on rollin'.
Keep on rockin', keep on rollin' every night.",happy
TRAQRHA128F93001EB.h5,The Strokes,Between Love & Hate,2003,"Watched her as she wiped her eyes
You don't make me sorry
Now I know that you never listened, listen

Thinkin' about that high school dance
Worrying about the finals
Yes I know, you're feelin' lonely, oh lonely, so lonely

Never needed anybody, I never needed anybody
I never needed anybody, I never needed nobody
Don't worry about it, honey, yeah, I never needed anybody

I never needed anybody, it won't change now
Am I wrong? Don't sing along with me
I said I was fine, it's just the second time we lost the war

She'd be in the kitchen, I would start the fire
Oh, those days are gone
But you know I can't give up, give up

P.S. if I may ask why, when will they get tired?
We've stayed up
All night tryin', tryin'

Never needed anybody, I never needed nobody
I never needed anybody, I never needed anybody
Don't worry about it, honey, yeah, I never needed anybody

I never needed anybody, it won't change now
Am I wrong? Don't sing along with me
I said I was fine, the second time we lost the war",sad
TRBHOXV128F92FBB72.h5,Eddy Arnold,Molly Darling,1956,"(Eddy Arnold)

Won't you tell me Molly darling
That you love none else but me
For I love you Molly darling
You are all the world to me.

Oh, tell darling, that you love me
Put your little hand in mine
Take my heart sweet Molly darling
Say that you will give me time.

--- Instrumental ---

Stars are smiling Molly darling
Through a misty veil of night
They seem laughing Molly darling
While the Moon hides her light.

Oh, no one listens but the flowers
While they hang their heads in shame
They are modest Molly darling
When they hear me call your name.

Molly there is sweetest dearest
Look up darling tell me this
Do you love me Molly darling
Let your answer be a kiss...",happy
TRBHZNF128F14989FE.h5,The Ronettes,(The Best Part Of) Breakin' Up,1964,"Baby when we break up from a quarrel or a fight
I can't wait to have you back and hold you, oh, so tight
Tell me why, I wanna know, tell me why, is it so
That the best part of breaking up is when you're making up
Best part of breaking up is when you're making up
But after breaking up be sure you're making up with me

Everytime you leave I get those teardrops in my eyes
But they seem to go away when you apologize
Tell me why, I want to know, tell me why, is it so
That the best part of breaking up is when you're making up
Best part of breaking up is when you're making up
But after breaking up be sure you're making up with me

Come on baby,
Come on baby,
Don't say maybe
Well it makes no difference who was wrong
Just as long as I'll be with you

Baby I'll be lonely till you're back where you should be
'Cause baby I belong to you and you belong to me
Tell me why, I want to know, tell me why, is it so
That the best part of breaking up is when you're making up
Best part of breaking up is when you're making up
But after breaking up, be sure you're making up with me
The best part of breaking up is when you know that you're making up with me

Come on baby,
Come on baby,
Don't say maybe
Come on baby, woo wee baby, come on baby (fade)",happy
TRATZQS128F1467D4B.h5,Devo,Going Under,1981,"Left home with a friend of mine
Gone two years and I don't know why
Now I'm happy all the time
I can't think and I'm feelin' fine
Girl put me in a situation
Going through soft core mutation

Think you heard this all before
Now you're gonna hear some more
I know a place where dreams get crushed
Hopes are smashed but that ain't much
Voluntary experimentation
Going through soft core mutation

I'm going under, I'm going under
I'm going under, I'm going under
I'm going under, going under
Going under, going under

Down under where the lights are low
To a place where all the mutants go
Doing things I never did before
Inside out and coming back for more

Little girls with the four red lips
Never knew it could be like this
You put me in a situation
Goin' through soft core mutation

Down under where the lights are low
To a place where all the mutants go
Doing things I never did before
Inside out and coming back for more

Little girls with the four red lips
Never knew it could be like this
You put me in a situation
Goin' through soft core mutation

(I'm going under)
Down under where the lights are low
(I'm going under)
To a place where all the mutants go
(I'm going under)
Doing things I never did before
(I'm going under)
Inside out and coming back for more
(I'm going under)

Little girls with the four red lips
(I'm going under)
Never knew it could be like this
(I'm going under)
You put me in a situation
(I'm going under)
Goin' through soft core mutation
(I'm going under)

I'm going under, I'm going under
I'm going under, I'm going under
I'm going under, I'm going under
I'm going under",sad
TRAKOWP128F42988F8.h5,Daryl Hall & John Oates,Everything Your Heart Desires,1988,"Daryl Hall
Miscellaneous
Everything Your Heart Desires
Everything Your Heart Desires
Hall &amp; Oates

Oh, oh
You say you can't stand to be
Tied so close to a lover
Yeah ooh you feel like a prisoner
And you wanna find someone who will let you out
Can't you see the heartbeat that you know so well
Is better than some strange one you're looking for
Say you never know that strange one just might be me yeah

Can't you see
(You Have Everything Your Heart Desires)
So why you want more
If you have (If You Have Everything Your Heart Desired
Would you still want more
You (Have Everything Your Heart Desires)
Why do you want more
(If you Have Everything Your Heart Desires)
Desired, would you still want more

You tell me your best friend's world seem beautiful
but don't be fooled
It's nice work if you can get it
Yeah, what goes on behind closed doors you don't know
Maybe she cries herself to sleep every nite
Sorry that the heartbeat that she knows so well
Ain't what she's looking for
You never know that strange heart just might be me

Maybe (You Have Everything Your Heart Desires)
So why you want more
If you had
(If you had everything your heart desired)
Would you still want more
(You Have Everything Your Heart Desires)
Desired, why do you want more
(If you have Everything Your Heart Desires)

Maybe you'll confess
Girl you'll see (no)
If you want the world, if you want the world
Think of me
No words can help
So don't be sad oh no
'Cause baby what you want is what you have hey, hey

Do you still love me?

Hey, (You Have Everything Your Heart Desires)
Everything your heart desires
So why you want more
(If You Have Everything Your Heart Desires)
I can give you anything you want
(You Have Everything Your Heart Desires)
As long as you know you got to me
You got the key to me
(If You Have Everything Your Heart Desires)
Hang on, let's go, no no, no no, no no, no no, no no",sad
TRAJMEL128F4262B4A.h5,The Fabulous Thunderbirds,Why Get Up,1986,"Why get up?
Why get up?
How can I get up?
Why should I get up?

This whole world's gone crazy
Think I've seen enough
I'm gonna sleep forever
Why get up?

Phone keeps ringing
Right off the hook
Some bill collector
I know what cooks

Think I'll stay in bed
And dream all day
The world outside
Bugs me anyway

When I get things going
The going gets rough
So I ask myself
Why get up?

Why get up?
Why get up?
How can I get up?
Why should I get up?

This whole world's gone crazy
Think I've seen enough
I'm gonna sleep forever
Why get up?

Went to the doctor
He said lose some weight
If you don't do it quick
We'll have to operate

I talked to my lawyer
He said case is closed
That woman got it all
Even the garden hose

Staring at the ceiling
Thinking just my luck
I better roll back over
Why get up?

Why get up?
Why get up?
How can I get up?
Why should I get up?

This whole world's gone crazy
Think I've seen enough
I'm gonna sleep forever
Why get up?

Well, I can't quit drinking
I'm nervous all the time
When I wake up
It's like a ton of lead on my mind

What was it, I said
To that girl last night?
She really got upset
I best stay out of sight

I remember a gun
Callin' somebody's bluff
I better duck under cover
Why get up?

Why get up?
Why get up?
How can I get up?
Why should I get up?

This whole world's gone crazy
Think I've seen enough
I'm gonna sleep forever
Why get up?

Why get up?
Why get up?
How can I get up?
Why should I get up?

This whole world's gone crazy
Think I've seen enough
I'm gonna sleep forever
Why get up?",sad
TRBHUVB128F148ADB8.h5,Darryl Worley,Where You Think You're Goin'?,2002,"You've packed up the cups and dishes loaded down the car
Hold your horses just a minute before you get too far
Where you think you're goin' darlin'?
Where you think you're goin' with my heart?

You can have the 'frigerator and the new TV
Take the pictures off the wall, that's alright by me but
Where you think you're goin' sweet pea?
Where you think you're goin' with my heart?

Girl, we had a good thing goin' but now you're gonna leave
But you've got somethin' that belongs to me
Look at me now, can't you see? It's tearin' me apart
Where you think you're goin' sugar puddin'?
Where you think you're goin' with my heart?

If that's what you want
Is for me to just break right down
[Incomprehensible]
I just might do it

Girl, we had a good thing goin' but now you're gonna leave
But you've got somethin' that belongs to me
Look at me now, can't you see? It's tearin' me apart
Where you think you're goin' honey bunny?
Where you think you're goin' with my heart?

Where you think you're goin' sweet cheeks?
Where you think you're goin' with my heart?

Come back here with that you can't take everything
Don't you want to just kiss me one more time just for the good times
It's goin' be sad and lonesome here without you",sad
TRBDENB128F42B7798.h5,Bone Thugs-N-Harmony,2 Glocks,2000,"What they really want
What they really want
What they really want
What they really want

What they really want
What they really want
What they really want
What they really want

Get ya gun get ya gun did you kill them all
Fuck with the niggaz with the guns
(Fall to your death death)
And you might get shot
(Get shot)

Get ya gun get ya gun did you kill them all
You could be the first to feel the heat
(Fall to your death death)
To see how much we got
(We got)
To see how much we got
(We got)

I still be the thuggish ruggish nigga
Dressed in all black khakis, fatigues, and boots
Still don't give a fuck about the law
Still run with a pump in my car and fuck who you are

Your fuckin' with a couple of niggaz that's really insane
I'm talkin' loco Krayzie as hell
It ain't just a name it's the game
We done loosened up a couple strings

And shook a couple of screws loose in my brain
Besides that man ain't nothin' changed
Look at me now, I'm still a thug
Nigga I still smoke bud

(You know)
You know I still represent
St. Clair wig split shit nigga what
This is bone thug

Niggaz thinkin' I told ya but we put it down like that
And whoever we got to fuck up to prove that
We do it and keep on movin'
Guess who's back up in the house

Original Cleveland criminals
Niggaz just send them subliminal messages like
""Murda, Mo Murda Murda""
Never forgot where we come from

Watch how you move your tongue
'Cause I got niggaz thats ready to jump off in your ass
And smash and crash
Protect my niggaz for combat

Leather face at ya and on your ass like
I was a heat seeker creeper the reaper peep you
Sweep you off your feet in Cleveland

I be the smoothest little nigga you can meet me
(Me)
But nigga you fuck with me then I'm a fuck with you
Introduce you to this heat, I sweep the street
When I draw down let me hear ya say
""Fuck the Law"" now

Rawest niggaz in the town ready to thug and go down
Go pound for pound nigga that's the motto
Let me see you throw them things
And if it's real nigga keep it real

Show me your game, I'm sure gonna claim
What the fuck is mine my nigga I'll take it
Grab a player hater by the neck
Choke him out and try to break it

Give me your money, drop them keys
It's a jack move bitch
And since you haters ain't got no business
That's how we attack your shit

Nigga we'll smack your bitch in the middle of the Grammy
And the media might ban me
Nigga this ""Mo Thug Family"" is for real

Get ya gun get ya gun did you kill them all
Fuck with the niggaz with the guns
(Fall to your death death)
And you might get shot
(Get shot)

Get ya gun get ya gun did you kill them all
You could be the first to feel the heat
(Fall to your death death)
To see how much we got
(We got)
To see how much we got
(We got)

Pull it up sit up get up and count your money
Before it all gets spent up
And you wanna get rid of
A hood bitch with game and every bitch said I'm a good bitch

Fuckin' with my wood grain
Everybody still playing that hood game quiet
(Quiet, quiet)
Especially when it's tired
My environment ain't nothing but niggaz dying

In a chemical fed injection in Jasper, Texas
Split up these niggaz off in different sections
Don't hate my message
Destiny led to mimic chastity for my daughter

Wad up a niggaz sherm and come listen to the sermon
Swerving in my suburban lick it up with the bottle
But everybody know I got some problems
Had dreams of the Apollo

The fiends had faith in me
Suckas wouldn't run, a nigga not insane
Niggaz still with me bone, some how they turn up
Run up and get your sign run blindly
Elevate through time nowhere to hide

Our dogs finna haul off lead sawed off head
Nigga you drippin' soakin' with bloody body be beggin' me
You know what you should've capped like 2-Pac with a glock
They're deadly better not upset my thug mentality sucka

You know you done fucked up don't you niggaz
Runnin' up blastin' big ass triggers
What the fuck you thought you saw with your head in the sky
Could it be a bird or maybe it's even a plane

For the untamed insane human only the fifth dog
Fuck you thought mothafuck fame
For the fact the shit is a fat game going
Remain number one in the land

Flesh strangle the gang
Bang bang bang I dropped five guards
In the name of the Lord I say
Now how many times will I have to slay today
Will I raise my guage, oh God

How will I teach ya, but it's these tactics that he daily practice
They gonna let you, don't have it have it
Runnin' up you sons of bastards blast it
We sons of assassins match it collecting more cash

That's true your feeling that
Niggaz said all my babies get a million
Struggle with a villain hit them with a venomous blow
I call on my mighty, y'all can joke

Gonna surround my soul but go with the calico yo
We the tightest you know Mo the Mighty
Yes trues humbly united, my family never divided
Desperado, Thug Line, Mo Thug, Millennium, 7th Sign

For the FBI you wanna come test my enterprise
Bitch you better go think twice and open up your mothafuckin' eyes
These niggaz can't fuck with the fifth dog finna parlay
Everyday stormin' your way you better lay low

So you might just duck when I buck guage
Can't you see my niggaz having a ball all day
Since we having a ball all day mothafuckers player hate

Get ya gun get ya gun did you kill them all
Fuck with the niggaz with the guns
(Fall to your death death)
And you might get shot
(Get shot)

Get ya gun get ya gun did you kill them all
You could be the first to feel the heat
(Fall to your death death)
To see how much we got
(We got)
To see how much we got
(We got)

To see how much we got
(We got)
To see how much we got
(We got)",sad
TRAAMES128F42AF068.h5,Pearl Jam,Inside Job,2006,"Underneath this smile lies everything 
All my hopes, anger, pride and shame 

Make myself a pact, not to shut doors on the past 
Just for today...I am free 

I will not lose my faith 
It's an inside job today 

I know this one thing well 

I used to try to kill love, it was the highest sin 
Breathing insecurity out and in 

Searching hope, I'm shown the way to run straight 
Pursuing the greater way for all...Human light 

How I choose to feel...Is how I am 
How I choose to feel...Is how I am 

I will not lose my faith 
It's an inside job today 

Oh holding out the light of night 
On my knees to rise and face my broken soul 

Again 

Let me run into the rain 
To be a human light again 

Let me run into the rain 
To be a human light today 

Life comes from within your heart and desire 
Life comes from within my heart and desire 
Life comes from within your heart and desire",happy
TRAQTYT12903D134AC.h5,Billie Jo Spears,What I've Got In Mind,1976,"There's a million things that we could do this evenin'
With all the night life and the silver screen
Oh, we've got time and we could take the town in
Or take a fast jet, baby, down to New Orleans
But what I've got in mind is a small cafe
Out of the way
Oh, baby, let's don't stay
No and be too late
What I've got in mind is to disappear
Or maybe just stay right here
Oh, to tell the truth what I've got in mind
Is makin' love to you
Well, I confess and you can find me guilty
I'm a selfish lover I can't deny
But I love you and I don't want to share you
With any night lights or darlin', in another's eyes
But what I've got in mind is a small cafe
Out of the way
Oh, baby, let's don't stay
No and be too late
What I've got in mind is to disappear
Or maybe just stay right here
Oh, to tell the truth what I've got in mind
Is makin' love to you
Oh, to tell the truth what I've got in mind
Is makin' love to you",happy
TRABYAR128F931B1A4.h5,Robben Ford,Something For The Pain,2002,"Time to search my soul
Now that I'm alone
And I need you

Lessons from the past
Say nothin' ever lasts
But I need you

This I know for sure
They'll never be a cure
So, give me somethin' for the pain
So, give me somethin' for the pain

Taking my world apart
It's written in my heart
That I need you

You'd been runnin' through my veins
Before I knew your name
And I need you

One thing I know for sure
They'll never be a cure
After findin' her love so pure
So, give me somethin' for the pain, yeah
Give me somethin' for the pain

One day I'll be a different me
And fly out an open door
Then I will be that day set free
And dream of you no more
Dream of you no more

One thing I know for sure
They'll never be a cure
After findin' her love so pure
So, give me somethin' for the pain
Give me somethin' for the pain
Give me somethin' for the pain
Give me somethin' for the pain",sad
TRAGLMS128F425FE0A.h5,DeGarmo & Key,Destined To Win,1988,"This song's to all the people

With light in their hearts

And love in their eyes.

You don't have to worry
When the mountains seem of infinite size.

There is one who goes before you to calm the sea.

There's a king who leads his people to victory.

We are Destined to Win

We're surrounded by his Love
And guarded by his power.

Destined to Win
Following the Lord until the battle's over.

We are Destined to Win

We all get discouraged
When the pressures of life

start weighing us down
We've learned that in his footsteps
Crosses in life must preceed the crowns.

There is one who goes before you

To calm the sea.

There's a king who leads his people to victory.

We are

Destined to Win

We're surrounded by his Love

And guarded by his power.

Destined to Win

Following the Lord until the battle's over.

We are Destined to Win

We've got to remember
It's our destiny to win the end
With Christ on our side
We are Destined to Win.

We are
Destined to Win

We're surrounded by his Love
And guarded by his power.
Destined to Win

Following the Lord until the battles over.

Destined to Win
We're surrounded by his Love
And guarded by his power.

Destined to Win
Following the Lord until the battle's over.

We are
Destined
Love
We are
Destined

We are Destined to Win",happy
TRAAQCK128F92E8C33.h5,Lily Allen,U Killed It,2006,"Sunday morning
We were lying in bed just the two of us under cover
Under cover

With no warning
You suddenly became more than my lover(-a-a-ahh)
I've been waiting so very long for you to say it to me
Say it to me
I'd be skating
Skating on thin ice if I don't agree(-e-e-eee)

I know that you're the one for me
But it took me by surprise
And if I say it back to you
I can't look you in the eye
But I don't want to lose you
And I don't want to confuse you
I guess that this my cue to give you my reply

(Chorus)
And you killed it
You killed it
You killed it with I love you

And you killed it
You killed it
You killed it with I love you

And you killed it with I love you
What am I supposed to say back to you
And you killed it with I love you, with I love you

I know it's only
Only three little words that I seem to be so scared of
I'm so scared of
So please show me
How to get these words off the tip of my tongue and out of my mind.
I know that you're the one for me but it took me by surprise
But if I say it back to you
I can't look you in the eye
But I don't want to lose you
And I don't want to confuse you
I guess that this my cue to give you my reply

(Chorus)

I have been thinking about what you said
Three little words running round in my head
There's no one else that I'd rather be next to
I guess what I'm trying to say is I love you

(Chorus x3)",sad
TRAVGNH128F428CBA9.h5,Amorphis,Into Hiding,1994,"The islander slips into hiding
And takes to his heels
Out of dark Northland
The murky house of Sara

He whirled out of doors as snow
Arrives as smoke in yard
To flee from bad deeds

There he had to become someone else
He must change his shape
As an eagle he swept up

Wanted to soar the heavenward
The sun burnt his cheeks
The moon lit his brows
  (Wanted to soar heavenward)
The sun burnt his cheeks
The moon lit his brows

The islander slips into hiding
And takes to his heels
Out of dark Northland
The murky house of Sara",sad
TRAIYZW128F9330F7D.h5,Kanye West,Street Lights,2008,"Let me know, do I still got time to grow
Things ain't always set in stone
With that being, let me know
Let me
Seems like streetlights glowing

Happened to be just like moments
Passing, in front of me so
I hopped in, the cab and
I paid my fair, see
I know my destination
But I'm just not there
All the streetlights glowing
Happened to be just like moments
Passing, in front of me so
I hopped in, the cab and
I paid my fair, see
I know my, destination
But I'm just not there in the streets
In the streets
I'm just not there in the streets

I'm just no there

Life's just not fair

Seems like streetlights glowing
Happened to be just like moments
Passing, in front of me so
I hopped in, the cab and
I paid my fair, see
I know my, destination
But I'm just not there
All the streetlights glowing
Happened to be just like moments
Passing, in front of me so
I hopped in, the cab and

I paid my fair, see
I know my, destination

But I'm just not there in the streets

In the streets
I'm just not there in the streets

I'm just no there
Life's just not fair
Seems like streetlights glowing
Happened to be just like moments
Passing, in front of me so
I hopped in, the cab and
I paid my fair, see
I know my, destination
But I'm just not there
All the streetlights glowing
Happened to be just like moments
Passing, in front of me so
I hopped in, the cab and
I paid my fair, see
I know my, destination
But I'm just not there
All the streetlights glowing
Happened to be just like moments
Passing, in front of me so
I hopped in, the cab and
I paid my fair, see
I know my, destination
But I'm just not there in the streets
In the streets
I'm just not there in the streets
I'm just no there
Life's just not fair
Life's just not fair",sad
TRAMKKJ128F1463612.h5,Burning Spear,Tumble Down,1991,"Jah is my life and strength and energy
Gots to be smart to prevent them from
Tumble down on you

Tumble down on you, tumble down on you
Tumble, tumble, tumble, tumble, tumble
Tumble, tumble, tumble, tumble

People of the world, people of the world
Who see I works and know of I
People of the world, people of the world
Who see I works and know of I

Gots to be smart to prevent them from
Tumble down on you
Gots to be smart to prevent them from
Tumble down on you

Tumble down on you, tumble down on you
Tumble, tumble, tumble, tumble
Tumble, tumble, tumble, tumble

Backbiters want to tumble down on you
Tumble down on you
Criticism want to tumble down on you
Tumble down on you

Backbiters want to tumble down on you
Tumble down on you
Tumble, tumble, tumble, tumble
Tumble, tumble, tumble, tumble, tumble

Jah is my life and strength and energy
Jah is my life and strength and energy

Gots to be smart to prevent them from
Tumble down on you
Gots to be smart to prevent them from
Tumble down on you

Tumble down on you, tumble down on you
Tumble, tumble, tumble, tumble
Tumble, tumble, tumble, tumble",sad
TRAADNA128F9331246.h5,Stevie Ray Vaughan,Crossfire,1992,"Day by day, night after night,
Blinded by the neon lights.
Hurry here, hustlin' there,
No one's got the time to spare.
Money's tight, nothin' free,
Won't somebody come and rescue me?
I am stranded, caught in the crossfire
Stranded, caught in the crossfire.

Tooth for tooth, eye for an eye.
Sell your soul just to buy, buy, buy.
Beggin' a dollar, stealin' a dime,
Come on can't you see that I
I am stranded, caught in the crossfire
I am stranded, caught in the crossfire.

I need some kind of kindness, some kind of sympathy oh, no
We're stranded, caught in the crossfire

Save the strong lose the weak,
Never turning the other cheek.
Trust nobody don't be no fool,
Whatever happened to the golden rule?
We got stranded, caught in the crossfire
We got stranded, caught in the crossfire
We got stranded, caught in the crossfire
Stranded, caught in the crossfire
Help me.",happy
TRAHDJL128F9305B80.h5,Janis Joplin,Piece Of My Heart,1972,"Oh, come on, come on, come on, come on

Didn't I make you feel like you were the only man? Yeah
An' didn't I give you nearly everything that a woman possibly can?
Honey, you know I did
And, and each time I tell myself that I, well I think I've had enough
But I'm gonna, gonna show you baby, that a woman can be tough

I want you to come on, come on, come on, come on and take it
Take another little piece of my heart now, baby
Oh, oh, break it
Break another little bit of my heart now, darling, yeah, yeah, yeah, yeah
Oh, oh, have a
Have another little piece of my heart now, baby
Well you know you got it, if it makes you feel good
Oh, yes indeed

You're out on the streets looking good
And baby deep down in your heart I guess you know that it ain't right
Never, never, never, never, never, never hear me when I cry at night
Babe and I cry all the time
But each time I tell myself that I, well I can't stand the pain
But when you hold me in your arms, I'll sing it once again

I'll say come on, come on, come on, come on and take it
Take another little piece of my heart now, baby
Oh, oh, break it
Break another little bit of my heart now, darling, yeah
Oh, oh, have a
Have another little piece of my heart now, baby
Well you know you got it, child, if it makes you feel good

I need you to come on, come on, come on, come on and take it
Take another little piece of my heart now, baby
Oh, oh, break it
Break another little bit of my heart, now darling, yeah, c'mon now
Oh, oh, have a
Have another little piece of my heart now, baby
You know you got it

Take it, take another little piece of my heart now, baby
Oh, oh, break it
Break another little bit of my heart, now darling, yeah, yeah, yeah, yeah
Oh, oh, have a
Have another little piece of my heart now, baby, hey
You know you got it, child, if it makes you feel good",happy
TRAHLIF128F92E9CCF.h5,Bebo Norman,Borrow Mine,2004,"Take my hand
And walk with me awhile
Because it seems your smile
Has left here

And don't give in
When you fall apart
And your broken heart
Has failed you

I'll set a light up
On a hilltop
To show you my love
For this world to see

You can borrow mine
When your hope is gone
You can borrow mine
When you can't go on
Cause the world will not defeat you
If we're side by side
When your faith is hard to find
You can borrow mine
You can borrow mine

And take my love
And all that you can see
Is the raging sea
All around us

And don't give up
Cause I'm not letting go
And the God we know
Will not fail us

We will lay it all down
As we call out
Sweet Savior
Help our unbelief

You can borrow mine
When your hope is gone
You can borrow mine
When you can't go on
Cause the world will not defeat you
If we're side by side
When your faith is hard to find
You can borrow mine
You can borrow mine

When you are weak
Unable to speak
You are not alone
God of us, save us
And never forsake us
Is coming to take us
And take us to our home

You can borrow mine
When your hope is gone
You can borrow mine
When you can't go on
Cause the world will not defeat you
If we're side by side
When your faith is hard to find
When your faith is hard to find
You can borrow mine
You can borrow mine

Take my hand
Take my love
Don't give in, no
And don't give up",sad
TRAPDCB128F42824A6.h5,Jessica Simpson,Take My Breath Away,2004,"Watching every motion in my foolish lover's game
On this endless ocean finally lovers know no shame
Turnin' and returnin' to some secret place inside
Watchin' in slow motion as you turn around and say, ""My love

Take my breath away
Take my breath away""

Watching I keep waiting still anticipating love
Never hesitating to become the fated ones, oh yeah
Turnin' and returnin' to some secret place inside
Watchin' in slow motion as you turn around and say, ""My love

Take my breath away
Take my breath away, oh yeah""

Through the hourglass I saw you
In time you slipped away
When the mirror crashed I called you
And turned to hear you say
â€½If only for today I am unafraidâ€

Take my breath away
You take my breath away

  (Take my breath away)
You take my breath
You take my breath
You take my breath away

  (Take my breath away)
You take my breath away
You take my breath away
You take my breath away",happy
